network,group,members,size,degree
network_097,7,2;3,2,15
network_097,8,2;6,2,18
network_097,9,2;9,2,16
network_097,10,2;10,2,17
network_097,11,2;11,2,20
network_097,12,3;4,2,9
network_097,13,3;8,2,12
network_097,14,3;10,2,14
network_097,15,4;5,2,7
network_097,16,4;6,2,10
network_097,17,5;6,2,12
network_097,18,5;11,2,15
network_097,19,6;7,2,9
network_097,20,6;8,2,13
network_097,21,7;8,2,7
network_097,22,8;9,2,12
network_097,23,8;11,2,16
network_097,24,9;10,2,14
network_097,25,9;11,2,15
network_097,26,10;11,2,17
network_097,27,0;5;11,3,17
network_097,28,0;10;11,3,19
network_097,29,1;2;3,3,17
network_097,30,1;2;6,3,20
network_097,31,2;3;10,3,20
network_097,32,2;9;10,3,20
network_097,33,2;9;11,3,22
network_097,34,2;10;11,3,23
network_097,35,4;5;6,3,13
network_097,36,6;7;8,3,13
network_097,37,8;9;11,3,19
network_097,38,9;10;11,3,19
network_098,0,0;1,2,12
network_098,1,0;2,2,6
network_098,2,0;11,2,4
network_098,3,1;2,2,12
network_098,4,1;3,2,14
network_098,5,1;4,2,12
network_098,6,1;5,2,12
network_098,7,1;10,2,13
network_098,8,2;3,2,10
network_098,9,3;4,2,10
network_098,10,3;7,2,9
network_098,11,3;10,2,10
network_098,12,4;5,2,6
network_098,13,5;6,2,4
network_098,14,6;7,2,3
network_098,15,7;8,2,3
network_098,16,8;9,2,2
network_098,17,9;10,2,5
network_098,18,10;11,2,5
network_098,19,0;1;2,3,13
network_098,20,1;2;3,3,15
network_098,21,1;3;4,3,15
network_098,22,1;3;10,3,16
network_098,23,1;4;5,3,13
network_099,0,0;1,2,6
network_099,1,0;3,2,7
network_099,2,0;11,2,8
network_099,3,1;2,2,5
network_099,4,1;3,2,7
network_099,5,2;3,2,6
network_099,6,3;4,2,8
network_099,7,4;5,2,6
network_099,8,4;6,2,6
network_099,9,5;6,2,6
network_099,10,5;7,2,6
network_099,11,6;7,2,6
network_099,12,7;8,2,6
network_099,13,8;9,2,6
network_099,14,8;11,2,7
network_099,15,9;10,2,5
network_099,16,9;11,2,7
network_099,17,10;11,2,6
network_099,18,0;1;3,3,8
network_099,19,1;2;3,3,7
network_099,20,4;5;6,3,7
network_099,21,5;6;7,3,7
network_099,22,8;9;11,3,8
network_099,23,9;10;11,3,7
network_100,0,0;1,2,15
network_100,1,0;2,2,18
network_100,2,0;5,2,17
network_100,3,0;10,2,17
network_100,4,0;11,2,14
network_100,5,1;2,2,16
network_100,6,1;9,2,13
network_100,7,1;10,2,15
network_100,8,2;3,2,13
network_100,9,2;5,2,18
network_100,10,2;9,2,17
network_100,11,2;11,2,15
network_100,12,3;4,2,7
network_100,13,3;11,2,8
network_100,14,4;5,2,13
network_100,15,4;7,2,7
network_100,16,4;8,2,6
network_100,17,5;6,2,10
network_100,18,5;9,2,15
network_100,19,5;10,2,17
network_100,20,6;7,2,5
network_100,21,7;8,2,6
network_100,22,7;10,2,14
network_100,23,8;9,2,11
network_100,24,9;10,2,16
network_100,25,10;11,2,15
network_100,26,0;1;2,3,21
network_100,27,0;1;10,3,20
network_100,28,0;2;5,3,23
network_100,29,0;2;11,3,20
network_100,30,0;5;10,3,22
network_100,31,0;10;11,3,20
network_100,32,1;2;9,3,20
network_100,33,1;9;10,3,19
network_100,34,2;3;11,3,16
network_100,35,2;5;9,3,22
network_100,36,4;7;8,3,8
network_100,37,5;9;10,3,21
